Date,Open,High,Low,Close,Adj Close,Volume
1/1/1998,47.6875,55,47.125,53.8125,19.174625,11298900
2/1/1998,66,66.625,53,54.3125,19.352777,26168100
3/1/1998,55.5,56,51.25,54.125,19.285978,11748300
4/1/1998,55.9375,59.75,50.8125,56.5625,20.393272,11170900
5/1/1998,57,57.5,53.625,53.9375,19.446859,5821600
6/1/1998,53.5,62,53,59.8125,21.56505,8147600
7/1/1998,60.125,62.75,56.3125,60.8125,21.925585,8095200
8/1/1998,60.25,63.8125,55.3125,55.375,19.965128,11426100
9/1/1998,58.75,62,56.75,57.125,20.776882,15108000
10/1/1998,58.25,63,49.375,62.25,22.640886,10922300
11/1/1998,62.75,65.6875,59.8125,63.5,23.095522,6241300
12/1/1998,61.375,69.6875,61,69.5,25.277786,6031300
1/1/1999,70.0625,76.1875,66.5625,67.875,24.68676,8051500
2/1/1999,68.75,68.875,61.875,64.0625,23.300108,9405900
3/1/1999,63.6875,67.5,60.0625,66.9375,24.345762,9463000
4/1/1999,69.375,70.75,57.75,58,21.298708,12306200
5/1/1999,58.125,60.625,54,56.25,20.656065,10465500
6/1/1999,57.1875,61.625,54.375,56.625,20.793766,11125800
7/1/1999,57.5,58.9375,50.1875,52.1875,19.164248,16643300
8/1/1999,52.1875,54.875,48.0625,52.9375,19.439667,11719400
9/1/1999,53,55.75,51.0625,52,19.307501,5102900
10/1/1999,51,61.5625,50.625,59.875,22.231474,13351900
11/1/1999,59.375,63.25,57.75,59.4375,22.069035,9442300
12/1/1999,59.5,61.9375,51.375,55.875,20.746281,8493300
1/1/2000,55.9375,61.25,50.25,52.75,19.585978,16971500
2/1/2000,51.25,53,45.25,48.75,18.100773,16243700
3/1/2000,49.5625,59.625,46.8125,57.3125,21.280018,18301200
4/1/2000,58.8125,64.4375,56.5,62.8125,23.703854,15660400
5/1/2000,62.3125,62.375,56.3125,56.3125,21.250921,11181300
6/1/2000,57.5,58.75,52.6875,57.8125,21.816982,16043600
7/1/2000,60,61,53.75,57.125,21.557531,11330500
8/1/2000,58,60.1875,56.1875,57.5625,21.722639,10904600
9/1/2000,56.9375,60.625,53.6875,60.4375,23.006073,8501000
10/1/2000,60.4375,60.5625,56.125,58.1875,22.149591,10631500
11/1/2000,57.625,60.1875,56.5,57.3125,21.816502,17320200
12/1/2000,56.5625,58.875,53.4375,56,21.316906,18115800
1/1/2001,56,56.875,50.9375,52.549999,20.277809,20084800
2/1/2001,53.509998,56.810001,52.66,55.310001,21.342827,16434700
3/1/2001,56.200001,56.950001,47.150002,52.299999,20.181339,24828400
4/1/2001,51.419998,54.200001,49.799999,53.57,20.67141,14979800
5/1/2001,52.740002,56,52.25,54.689999,21.103586,15537600
6/1/2001,54.75,57.099998,53.740002,56.200001,21.803585,17262000
7/1/2001,56.700001,58,54.709999,57.759998,22.4088,15113500
8/1/2001,57.77,57.950001,52.470001,52.950001,20.542704,11981800
9/1/2001,52.209999,56.599998,48.400002,56.119999,21.879742,16859900
10/1/2001,55.240002,57.09,52.599998,53.400002,20.819284,15115200
11/1/2001,54.5,56.049999,49.900002,50.810001,19.915016,14220900
12/1/2001,50.299999,51.18,48.68,49.82,19.526976,12672600
1/1/2002,49.799999,50.970001,47.02,48.220001,18.899866,20029700
2/1/2002,47.610001,51.07,46.900002,48.950001,19.185976,13340100
3/1/2002,48.5,50.23,45.709999,47,18.688389,17275200
4/1/2002,47,49.98,45.5,48.049999,19.105892,21864300
5/1/2002,48,48.48,40.48,40.75,16.203232,23849000
6/1/2002,40.740002,43.310001,38.299999,43.139999,17.354006,25411900
7/1/2002,43,43.09,31.35,39.5,15.889735,30031900
8/1/2002,38.759998,42.09,37.290001,37.889999,15.362875,24658800
9/1/2002,36.599998,39.990002,34.799999,38.43,15.581833,20296700
10/1/2002,39.400002,43.150002,37.400002,37.689999,15.281788,24585600
11/1/2002,37.689999,40.490002,37.150002,38,15.531734,15948300
12/1/2002,38.009998,38.23,35.639999,37.459999,15.311028,19994700
1/1/2003,37.57,40.130001,34.049999,38.759998,15.842366,30783300
2/1/2003,38.34,38.790001,33.880001,35.049999,14.325986,16202300
3/1/2003,35.959999,37.91,31.85,35.189999,14.563405,21511500
4/1/2003,35.560001,40.75,35.400002,40.52,16.769226,18744300
5/1/2003,40.900002,43.869999,39.75,40.009998,16.558165,17473300
6/1/2003,39.830002,43.59,39.709999,40.540001,16.901382,17022800
7/1/2003,40.200001,41.490002,36.91,38.310001,15.971681,23844900
8/1/2003,38,40.200001,37.150002,38.830002,16.306751,16212600
9/1/2003,38.799999,43.220001,38.610001,42.400002,17.805975,21232500
10/1/2003,42.189999,44.119999,42.09,43.290001,18.179745,18363600
11/1/2003,43.700001,47.639999,42.73,45.880001,19.399935,19027600
12/1/2003,46.029999,46.68,44.23,46.619999,19.712822,21562100
1/1/2004,46.779999,47.25,43.560001,44,18.60499,23120900
2/1/2004,43.560001,45.360001,42.049999,42.619999,18.021477,44645300
3/1/2004,42.529999,42.639999,39.130001,39.950001,17.099998,41448400
