outbreak_year,outbreak_month,illnesses,hospitalizations,fatalities,Date,Close
1998,January,1389,35.0,0.0,1/1/1998,53.8125
1998,February,1147,19.0,1.0,2/1/1998,54.3125
1998,March,1512,99.0,0.0,3/1/1998,54.125
1998,April,2400,78.0,0.0,4/1/1998,56.5625
1998,May,2588,73.0,2.0,5/1/1998,53.9375
1998,June,3194,83.0,3.0,6/1/1998,59.8125
1998,July,2663,130.0,0.0,7/1/1998,60.8125
1998,August,3340,68.0,2.0,8/1/1998,55.375
1998,September,3248,54.0,0.0,9/1/1998,57.125
1998,October,1817,151.0,22.0,10/1/1998,62.25
1998,November,2052,60.0,0.0,11/1/1998,63.5
1998,December,1806,36.0,3.0,12/1/1998,69.5
1999,January,915,38.0,1.0,1/1/1999,67.875
1999,February,1233,34.0,1.0,2/1/1999,64.0625
1999,March,1513,18.0,2.0,3/1/1999,66.9375
1999,April,2244,27.0,1.0,4/1/1999,58.0
1999,May,3077,38.0,0.0,5/1/1999,56.25
1999,June,2474,82.0,0.0,6/1/1999,56.625
1999,July,2021,74.0,1.0,7/1/1999,52.1875
1999,August,2371,54.0,1.0,8/1/1999,52.9375
1999,September,2153,94.0,1.0,9/1/1999,52.0
1999,October,2843,50.0,0.0,10/1/1999,59.875
1999,November,1744,42.0,0.0,11/1/1999,59.4375
1999,December,2311,47.0,2.0,12/1/1999,55.875
2000,January,1307,27.0,0.0,1/1/2000,52.75
2000,February,2738,32.0,2.0,2/1/2000,48.75
2000,March,2640,31.0,0.0,3/1/2000,57.3125
2000,April,1688,61.0,1.0,4/1/2000,62.8125
2000,May,2553,112.0,10.0,5/1/2000,56.3125
2000,June,1755,66.0,1.0,6/1/2000,57.8125
2000,July,2631,85.0,3.0,7/1/2000,57.125
2000,August,1707,104.0,0.0,8/1/2000,57.5625
2000,September,1701,37.0,2.0,9/1/2000,60.4375
2000,October,2047,49.0,2.0,10/1/2000,58.1875
2000,November,2695,96.0,1.0,11/1/2000,57.3125
2000,December,2571,28.0,0.0,12/1/2000,56.0
2001,January,2950,46.0,1.0,1/1/2001,52.549999
2001,February,1413,37.0,0.0,2/1/2001,55.310001
2001,March,2384,40.0,1.0,3/1/2001,52.299999
2001,April,1938,102.0,3.0,4/1/2001,53.57
2001,May,3772,56.0,0.0,5/1/2001,54.689999
2001,June,2346,62.0,0.0,6/1/2001,56.200001
2001,July,1781,55.0,0.0,7/1/2001,57.759997999999996
2001,August,1398,52.0,0.0,8/1/2001,52.950001
2001,September,1152,94.0,0.0,9/1/2001,56.119999
2001,October,1471,20.0,0.0,10/1/2001,53.400002
2001,November,2298,41.0,6.0,11/1/2001,50.810001
2001,December,2289,60.0,0.0,12/1/2001,49.82
2002,January,1376,64.0,0.0,1/1/2002,48.220001
2002,February,1273,70.0,1.0,2/1/2002,48.950001
2002,March,2300,26.0,1.0,3/1/2002,47.0
2002,April,2836,83.0,0.0,4/1/2002,48.049999
2002,May,1594,30.0,0.0,5/1/2002,40.75
2002,June,2347,115.0,2.0,6/1/2002,43.139998999999996
2002,July,1697,101.0,9.0,7/1/2002,39.5
2002,August,1585,66.0,0.0,8/1/2002,37.889998999999996
